# CREATED BY GENE DIAGNOSTICS TOOL on Mon Feb 21 16:43:42 2022
# diag: nrgsummary, run(s): 1-dat, time window: 0-1760.9161(1 steps), species: i
# original data path: /marconi_scratch/userexternal/pmulholl/p02/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  8.2328E+01  1.0130E-01  2.0786E+00 -1.5147E-02
  8.3248E+01  1.0231E-01  2.1220E+00 -1.5539E-02
  8.4168E+01  1.0641E-01  2.1609E+00 -1.5379E-02
  8.5088E+01  1.1020E-01  2.1984E+00 -1.5079E-02
  8.6008E+01  1.0852E-01  2.2265E+00 -1.7157E-02
  8.6928E+01  1.1111E-01  2.2625E+00 -1.8328E-02
  8.7848E+01  1.1045E-01  2.2847E+00 -2.0079E-02
  8.8768E+01  1.0978E-01  2.3032E+00 -2.1783E-02
  8.9688E+01  1.1327E-01  2.3281E+00 -2.1542E-02
  9.0608E+01  1.1231E-01  2.3450E+00 -2.0056E-02
  9.1528E+01  1.1583E-01  2.3689E+00 -1.6511E-02
  9.2448E+01  1.1653E-01  2.3835E+00 -1.4240E-02
  9.3368E+01  1.1594E-01  2.3938E+00 -1.4257E-02
  9.4288E+01  1.1787E-01  2.4075E+00 -1.5692E-02
  9.5208E+01  1.1622E-01  2.4162E+00 -1.6105E-02
  9.6128E+01  1.1855E-01  2.4302E+00 -1.6013E-02
  9.7048E+01  1.1992E-01  2.4453E+00 -1.5377E-02
  9.7968E+01  1.2050E-01  2.4599E+00 -1.4724E-02
  9.8889E+01  1.2319E-01  2.4843E+00 -1.4801E-02
  9.9809E+01  1.2257E-01  2.5015E+00 -1.4382E-02
  1.0073E+02  1.2442E-01  2.5285E+00 -1.7275E-02
  1.0165E+02  1.2474E-01  2.5481E+00 -2.1084E-02
  1.0257E+02  1.2423E-01  2.5639E+00 -2.1777E-02
  1.0349E+02  1.2794E-01  2.5863E+00 -2.1847E-02
  1.0441E+02  1.2600E-01  2.6079E+00 -1.9316E-02
  1.0533E+02  1.2665E-01  2.6407E+00 -1.5948E-02
  1.0625E+02  1.2707E-01  2.6717E+00 -1.3656E-02
  1.0717E+02  1.2620E-01  2.6916E+00 -1.2698E-02
  1.0809E+02  1.3003E-01  2.7075E+00 -1.2546E-02
  1.0901E+02  1.2892E-01  2.7186E+00 -1.0271E-02
  1.0993E+02  1.3172E-01  2.7431E+00 -1.1660E-02
  1.1085E+02  1.3494E-01  2.7700E+00 -1.3393E-02
  1.1177E+02  1.3719E-01  2.7996E+00 -1.3274E-02
  1.1269E+02  1.4172E-01  2.8378E+00 -1.3668E-02
  1.1361E+02  1.4243E-01  2.8608E+00 -1.3172E-02
  1.1453E+02  1.4528E-01  2.8791E+00 -1.2344E-02
  1.1545E+02  1.4673E-01  2.8950E+00 -9.9306E-03
  1.1637E+02  1.4455E-01  2.9076E+00 -7.1961E-03
  1.1729E+02  1.4592E-01  2.9236E+00 -6.0136E-03
  1.1821E+02  1.4335E-01  2.9320E+00 -5.2825E-03
  1.1913E+02  1.4486E-01  2.9461E+00 -4.7373E-03
  1.2005E+02  1.4572E-01  2.9623E+00 -4.9892E-03
  1.2097E+02  1.4478E-01  2.9765E+00 -4.4170E-03
  1.2189E+02  1.4421E-01  2.9969E+00 -6.7530E-03
  1.2281E+02  1.4524E-01  3.0105E+00 -1.1551E-02
  1.2368E+02  1.4785E-01  3.0193E+00 -1.4850E-02
  1.2456E+02  1.5103E-01  3.0256E+00 -1.3769E-02
  1.2546E+02  1.5058E-01  3.0378E+00 -1.0947E-02
  1.2636E+02  1.5314E-01  3.0595E+00 -9.7948E-03
  1.2727E+02  1.5179E-01  3.0758E+00 -7.7724E-03
  1.2817E+02  1.5283E-01  3.0880E+00 -6.9661E-03
  1.2907E+02  1.5166E-01  3.0903E+00 -4.7373E-03
  1.2998E+02  1.4959E-01  3.0869E+00 -3.1889E-03
  1.3088E+02  1.5088E-01  3.0826E+00 -3.1521E-03
  1.3178E+02  1.5072E-01  3.0766E+00 -4.3181E-03
  1.3269E+02  1.5117E-01  3.0774E+00 -5.5265E-03
  1.3359E+02  1.5199E-01  3.0833E+00 -4.1114E-03
  1.3449E+02  1.5388E-01  3.0927E+00  6.2845E-04
  1.3540E+02  1.5573E-01  3.0994E+00  2.9151E-03
  1.3630E+02  1.5375E-01  3.1075E+00  3.5640E-03
  1.3720E+02  1.5459E-01  3.1174E+00  3.8074E-03
  1.3811E+02  1.5554E-01  3.1243E+00  3.5841E-03
  1.3901E+02  1.5595E-01  3.1233E+00  2.1685E-03
  1.3991E+02  1.5514E-01  3.1241E+00  1.9819E-03
  1.4082E+02  1.5354E-01  3.1311E+00  1.0940E-03
  1.4172E+02  1.5486E-01  3.1362E+00 -1.4425E-03
