# CREATED BY GENE DIAGNOSTICS TOOL on Mon Feb 21 16:46:43 2022
# diag: fluxspectra, run(s): 1-dat, time window: 800-1760.8288(27 steps), species: i
# original data path: /marconi_scratch/userexternal/pmulholl/p02/
# normalization: L_ref=1.65m
#
# Q*dVdx =   1.9693E+00 MW
# G*dVdx =   2.6476E-01 MW/keV
#  kx         G_es,p      Q_es,p      G_em,p      Q_em,p    
  0.0000E+00  6.9553E-03  1.9720E-01  2.4717E-06 -8.3604E-06
  2.6704E-02  1.3779E-02  3.9526E-01  4.8134E-06 -1.6936E-05
  5.3409E-02  1.3124E-02  3.6589E-01  8.1276E-06  5.8838E-06
  8.0113E-02  1.2090E-02  3.2973E-01  6.4060E-06  7.5381E-06
  1.0682E-01  1.1535E-02  3.0124E-01  6.9744E-06  9.4566E-06
  1.3352E-01  9.9109E-03  2.5833E-01  9.6310E-06  2.5590E-05
  1.6023E-01  9.1735E-03  2.1714E-01  6.2895E-06  1.4438E-05
  1.8693E-01  7.7552E-03  1.7910E-01  8.5130E-06  2.6549E-05
  2.1363E-01  6.9153E-03  1.4891E-01  6.2506E-06  1.7644E-05
  2.4034E-01  6.4619E-03  1.2876E-01  6.6757E-06  2.1848E-05
  2.6704E-01  5.8574E-03  1.0966E-01  4.5065E-06  1.3784E-05
  2.9375E-01  5.1483E-03  9.0883E-02  4.3902E-06  1.4351E-05
  3.2045E-01  4.2671E-03  7.6751E-02  3.6052E-06  1.0645E-05
  3.4716E-01  4.1353E-03  6.5192E-02  2.9713E-06  9.2189E-06
  3.7386E-01  3.3174E-03  5.4232E-02  2.0319E-06  6.2199E-06
  4.0057E-01  3.2215E-03  4.9906E-02  1.4768E-06  3.8708E-06
  4.2727E-01  2.7721E-03  4.1662E-02  1.6759E-06  4.2644E-06
  4.5397E-01  2.6028E-03  3.6989E-02  7.2135E-07  2.0828E-06
  4.8068E-01  2.3293E-03  3.1886E-02  1.0803E-06  2.9128E-06
  5.0738E-01  2.1598E-03  2.8417E-02  5.4212E-07  1.2356E-06
  5.3409E-01  2.0570E-03  2.4062E-02  6.9913E-07  2.0623E-06
  5.6079E-01  1.7320E-03  2.0332E-02  5.1715E-07  1.0404E-06
  5.8750E-01  1.6417E-03  1.8995E-02  5.9988E-07  1.3471E-06
  6.1420E-01  1.4859E-03  1.6972E-02  3.5247E-07  7.5095E-07
  6.4090E-01  1.2550E-03  1.4538E-02  3.0507E-07  3.7911E-07
  6.6761E-01  1.1938E-03  1.2702E-02  2.8156E-07  6.4820E-07
