# CREATED BY GENE DIAGNOSTICS TOOL on Mon Feb 21 16:27:19 2022
# diag: nrgsummary, run(s): 1-dat, time window: 0-1468.5478(1 steps), species: i
# original data path: /marconi_scratch/userexternal/pmulholl/p42/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  5.8976E-01 -1.2578E-01 -1.3986E-01  7.5900E-06
  1.1654E+00 -2.2871E-01 -2.7637E-01 -6.3462E-04
  1.7227E+00 -2.4365E-01 -2.7032E-01 -2.4448E-03
  2.2534E+00 -2.6871E-01 -2.6893E-01 -3.4799E-03
  2.7828E+00 -2.7878E-01 -2.4421E-01 -3.9522E-03
  3.3176E+00 -2.8264E-01 -1.8280E-01 -3.4547E-03
  3.8735E+00 -2.9328E-01 -9.6130E-02 -1.4744E-03
  4.4294E+00 -2.4123E-01  4.8950E-02 -1.4715E-03
  4.9853E+00 -1.7091E-01  1.8316E-01 -3.7578E-03
  5.5622E+00 -1.4517E-01  2.7603E-01 -5.4341E-03
  6.1496E+00 -7.9018E-02  3.5044E-01 -8.5032E-03
  6.7625E+00 -2.8801E-02  4.2979E-01 -5.8322E-03
  7.3757E+00  1.2608E-02  4.5831E-01 -1.5612E-03
  8.0192E+00  5.7206E-02  4.4699E-01  2.9728E-03
  8.6627E+00  9.2548E-02  3.9455E-01  4.7481E-03
  9.3062E+00  1.0494E-01  3.4501E-01  6.0514E-03
  9.9497E+00  1.0168E-01  3.0297E-01  8.7036E-03
  1.0593E+01  9.2476E-02  2.4056E-01  8.5925E-03
  1.1256E+01  7.6263E-02  1.9569E-01  5.1193E-03
  1.1932E+01  5.8922E-02  1.0794E-01 -3.0510E-04
  1.2608E+01  3.5465E-02  6.4300E-02 -2.4248E-03
  1.3283E+01  1.9894E-02  2.5075E-02 -4.8809E-03
  1.3959E+01 -1.9513E-03 -3.9028E-03 -7.3547E-03
  1.4635E+01 -2.2676E-03 -1.2354E-02 -9.1956E-03
  1.5330E+01 -9.4275E-03  5.4310E-03 -6.8739E-03
  1.6040E+01 -9.8012E-03  4.0211E-02 -6.3974E-04
  1.6749E+01 -3.2642E-03  8.1701E-02  4.1757E-03
  1.7459E+01  1.3576E-02  1.1351E-01  6.4027E-03
  1.8168E+01  1.9455E-02  1.2466E-01  8.7814E-03
  1.8877E+01  3.5668E-02  1.1226E-01  9.7290E-03
  1.9587E+01  4.6834E-02  8.8297E-02  1.0215E-02
  2.0296E+01  4.9607E-02  7.4422E-02  9.0086E-03
  2.1006E+01  6.0403E-02  3.2738E-02  6.2976E-03
  2.1715E+01  5.2708E-02  3.9498E-02  6.6779E-03
  2.2433E+01  4.9370E-02  3.0584E-02  6.3683E-03
  2.3178E+01  4.1543E-02  6.8259E-02  5.2888E-03
  2.3923E+01  3.7237E-02  9.0278E-02  4.8216E-03
  2.4668E+01  1.7741E-02  1.1224E-01  4.3762E-03
  2.5413E+01  1.1333E-02  1.2163E-01  5.0763E-03
  2.6158E+01 -6.4270E-04  1.3442E-01  5.4455E-03
  2.6903E+01 -9.0570E-04  1.3414E-01  4.1292E-03
  2.7648E+01 -7.7251E-03  1.4600E-01  4.2552E-03
  2.8392E+01 -5.5660E-03  1.5264E-01  3.0790E-03
  2.9137E+01 -3.9587E-03  1.6048E-01  1.1401E-03
  2.9882E+01  5.9156E-03  1.7264E-01  6.0800E-05
  3.0627E+01  1.1196E-02  1.6567E-01 -2.7134E-03
  3.1372E+01  1.9325E-02  1.4203E-01 -4.1424E-03
  3.2117E+01  2.2684E-02  1.2085E-01 -4.5283E-03
  3.2862E+01  2.9707E-02  8.9266E-02 -5.5528E-03
  3.3607E+01  3.6573E-02  6.0168E-02 -5.8721E-03
  3.4352E+01  3.7702E-02  6.2688E-02 -4.8176E-03
  3.5097E+01  3.9272E-02  5.5647E-02 -3.7206E-03
  3.5842E+01  3.8472E-02  6.7798E-02 -2.0550E-03
  3.6587E+01  3.2432E-02  8.5176E-02  2.1570E-04
  3.7332E+01  2.7949E-02  9.8936E-02  2.4800E-03
  3.8077E+01  2.1585E-02  1.0807E-01  3.6839E-03
  3.8822E+01  1.1940E-02  1.1380E-01  5.4653E-03
  3.9566E+01  7.4284E-03  1.1516E-01  6.4643E-03
  4.0311E+01  6.7840E-04  1.1725E-01  6.0934E-03
  4.1056E+01 -3.7745E-03  1.2573E-01  7.0685E-03
  4.1801E+01 -1.3002E-03  1.4276E-01  6.0058E-03
  4.2546E+01 -2.6258E-03  1.4207E-01  5.5699E-03
  4.3291E+01 -2.0936E-03  1.4965E-01  5.1793E-03
  4.4036E+01  2.5135E-03  1.4226E-01  5.1098E-03
  4.4781E+01  7.2213E-03  1.4568E-01  3.2204E-03
  4.5526E+01  7.3684E-03  1.2537E-01  3.7335E-03
  4.6271E+01  1.5535E-02  1.1402E-01  3.7147E-03
  4.7016E+01  1.3923E-02  1.0417E-01  3.1082E-03
  4.7761E+01  1.7193E-02  1.0635E-01  2.1694E-03
  4.8506E+01  1.7493E-02  1.0993E-01  2.1080E-03
  4.9251E+01  1.8860E-02  1.1500E-01  1.9688E-03
  4.9996E+01  1.5200E-02  1.1792E-01  2.6220E-03
  5.0740E+01  1.3834E-02  1.2171E-01  1.6943E-03
  5.1485E+01  9.9138E-03  1.2468E-01  1.9376E-04
  5.2230E+01  1.1004E-02  1.2802E-01 -5.4200E-04
