# CREATED BY GENE DIAGNOSTICS TOOL on Mon Feb 21 16:56:08 2022
# diag: fluxspectra, run(s): 1-dat, time window: 800-1468.5478(43 steps), species: i
# original data path: /marconi_scratch/userexternal/pmulholl/p42/
# normalization: L_ref=1.65m
#
# Q*dVdx =   2.0694E+00 MW
# G*dVdx =   2.5504E-01 MW/keV
#  kx         G_es,p      Q_es,p      G_em,p      Q_em,p    
  2.0641E+00  1.1505E-07  2.3368E-04  1.9589E-07  6.7590E-07
  2.0928E+00  7.1344E-06  2.2411E-04  5.3837E-07  1.3593E-06
  2.1214E+00  7.9512E-06  2.1577E-04  1.5854E-07  5.2819E-07
  2.1501E+00 -4.8572E-06  1.9549E-04  1.0830E-07  5.2391E-07
  2.1788E+00 -3.9329E-06  1.8589E-04  1.5058E-07  5.4741E-07
  2.2075E+00  1.0156E-06  1.8316E-04  2.6538E-07  5.7495E-07
  2.2361E+00 -1.2893E-06  1.5766E-04  2.6821E-07  5.7317E-07
  2.2648E+00  1.2155E-06  1.6509E-04  2.0976E-07  7.0567E-07
  2.2935E+00 -8.3952E-06  1.4787E-04  1.2029E-07  5.2211E-07
  2.3221E+00 -4.4644E-06  1.5393E-04  1.5605E-07  1.5919E-07
  2.3508E+00 -5.9827E-06  1.4323E-04  4.1860E-08  2.2828E-08
  2.3795E+00 -9.1072E-06  1.3657E-04  4.5384E-08  9.9948E-08
  2.4081E+00 -2.4176E-06  1.2909E-04  8.3319E-08  4.0965E-07
  2.4368E+00 -7.8600E-06  1.1717E-04  1.3054E-07  1.9843E-07
  2.4655E+00 -6.8240E-06  1.1690E-04  7.2635E-08  2.2610E-07
  2.4941E+00  1.7863E-06  1.0574E-04 -5.6845E-09  1.3575E-07
  2.5228E+00 -5.2250E-06  1.0793E-04  7.7635E-08  7.9564E-08
  2.5515E+00 -1.0338E-05  9.7053E-05 -1.0994E-07  2.3292E-07
  2.5801E+00 -4.2365E-06  9.1736E-05  1.1996E-07  2.2569E-07
  2.6088E+00 -9.5141E-06  9.0122E-05  3.9929E-08 -2.3746E-08
  2.6375E+00 -1.0711E-05  8.2183E-05  1.0630E-07  1.3768E-07
  2.6661E+00 -6.0097E-06  8.5840E-05  1.6486E-07  2.9633E-07
  2.6948E+00 -8.0228E-06  7.6410E-05  1.0240E-07  2.6350E-07
  2.7235E+00 -5.5535E-06  7.2085E-05  1.0649E-07  1.5871E-07
  2.7521E+00 -6.6643E-06  6.5081E-05  2.1116E-07  2.8873E-07
  2.7808E+00 -3.9667E-06  6.3720E-05  9.2438E-08  8.5910E-08
  2.8095E+00 -6.9051E-06  6.5321E-05  1.2680E-07  2.7507E-07
  2.8382E+00 -5.9389E-06  6.6432E-05  6.0140E-08  1.3915E-07
  2.8668E+00 -1.0850E-05  5.9556E-05  3.7544E-08  5.8557E-08
  2.8955E+00 -7.1854E-06  5.2912E-05 -5.0967E-08 -1.9750E-08
  2.9242E+00 -1.0980E-05  4.6878E-05 -1.5380E-08 -4.6035E-08
  2.9528E+00 -7.8081E-06  5.1443E-05  8.8104E-08  1.5445E-07
  2.9815E+00 -9.0196E-06  4.8784E-05  1.0759E-07  1.6901E-07
  3.0102E+00 -8.9075E-06  4.3267E-05  3.4201E-08 -9.7372E-09
  3.0388E+00 -9.0243E-06  4.0058E-05  6.7734E-08  1.2097E-07
  3.0675E+00 -7.9779E-06  3.6657E-05 -2.3190E-08  1.2849E-08
  3.0962E+00 -6.9519E-06  3.8629E-05 -9.8361E-09 -2.6469E-08
  3.1248E+00 -6.4036E-06  3.6988E-05  2.7460E-08  4.3088E-08
