    2.1242841555E+00    1.8481270677E+00    2.2062757354E+00    1.1276421455E+00    1.0917521444E+01    4.3026450083E-02    1.0167590742E-01   -8.0824632336E-01
    1.6020996427E+00    1.4073585656E+00    1.9649483940E+00    1.0799368921E+00    1.1889622346E+01    1.5675277407E-03    9.3031389280E-02   -1.0243138773E+00
    1.2649426151E+00    1.0703453145E+00    1.7627808378E+00    1.0411647312E+00    1.2800680513E+01   -2.5779561129E-02    1.0889018707E-01   -5.6919962914E-01
    1.0512074048E+00    7.5982370477E-01    1.5118356797E+00    1.0059237065E+00    1.3715996537E+01    3.7929496267E-03    6.6344300400E-02   -9.7782632876E-01
    8.9672073336E-01    4.9789700967E-01    1.3035784319E+00    9.5977064260E-01    1.5069261638E+01   -4.0582968403E-02    3.5610325875E-02   -6.7079296723E-01
    8.4205480116E-01    3.6113178568E-01    1.2040177667E+00    9.3998402862E-01    1.5710102946E+01   -4.6537892673E-02    4.8467419735E-02   -2.9581004528E-01
    8.1807523193E-01    2.5633549197E-01    1.1171021040E+00    9.2096324670E-01    1.6363162909E+01   -4.7069231924E-02    1.4187124757E-02   -3.9425770627E-01
    7.9411620881E-01    1.8348014008E-01    1.1038996419E+00    9.1797938827E-01    1.6464745272E+01   -4.9207953953E-02   -1.6211206941E-02    2.1639951469E-01
    7.6979384852E-01    1.4306031032E-01    1.1479201719E+00    9.2925271156E-01    1.6078110916E+01   -4.0849079147E-02   -2.6097061751E-02    3.3276294205E-01
    7.4086814521E-01    9.3422513569E-02    1.2502286034E+00    9.5782615528E-01    1.5125612598E+01    1.0490182437E-03   -4.0468464165E-02    7.1909702389E-01
    6.8214879417E-01    2.4907726317E-02    1.4298782172E+00    9.8735300252E-01    1.4239032343E+01   -3.2699539787E-03   -6.2081692252E-02    4.6884144957E-01
    6.4194990096E-01   -7.6568016056E-02    1.6163791518E+00    1.0158713885E+00    1.3451134548E+01   -5.6554620798E-03   -6.1192733006E-02    8.2296965080E-01
    6.4570986907E-01   -2.5572337521E-01    1.8460239894E+00    1.0608382251E+00    1.2319155592E+01    4.0696867791E-02   -7.8127358196E-02    8.2061358058E-01
    6.7872241011E-01   -4.7371302328E-01    2.0959147852E+00    1.0944378734E+00    1.1584375143E+01    3.8397254826E-02   -9.9954499070E-02    6.8399658211E-01
    7.6578217828E-01   -7.2696091727E-01    2.3682871227E+00    1.1332825887E+00    1.0799582090E+01    6.6894593530E-02   -8.2677930847E-02    8.1292864108E-01
